LOKACIJA,"JA - Katastar"
﻿ADRESA,"Kralja Petra I,br. 6"
﻿GPS_POZICIJA,"21.26150000, 43.97550000"
﻿VRSTA_SENZORA,"Sirokopojasno merenje (100kHz – 7GHz)"
﻿VRSTA_MERENJA,"Mereno je elektricno polje"
﻿JEDINICA_MERE,V/m
﻿AKTIVNO,Da
RBR,DATUM_VREME,VREDNOST_POLJA,GRANICA_POLJA,GORNJA_NESIGURNOST,DONJA_NESIGURNOST,GORNJA_IZLOZENOST,DONJA_IZLOZENOST,GRANICA_IZLOZENOST,TEMPERATURA,VLAZNOST
148,"2018-12-28 14:42:00",3.55,11.000,4.331,2.769,0.10415289256198,0.010406344959704,1,10.000,58.000
149,"2018-12-28 14:48:00",3.49,11.000,4.2578,2.7222,0.10066198347107,0.010057553838024,1,10.000,58.000
150,"2018-12-28 14:54:00",3.48,11.000,4.2456,2.7144,0.10008595041322,0.01,1,10.000,58.000
151,"2018-12-28 15:00:00",3.49,11.000,4.2578,2.7222,0.10066198347107,0.010057553838024,1,10.000,58.000
152,"2018-12-28 15:06:00",3.46,11.000,4.2212,2.6988,0.098938842975207,0.0098853877658872,1,10.000,58.000
153,"2018-12-28 15:12:00",3.44,11.000,4.1968,2.6832,0.097798347107438,0.00977143612102,1,10.000,58.000
154,"2018-12-28 15:18:00",3.44,11.000,4.1968,2.6832,0.097798347107438,0.00977143612102,1,10.000,58.000
155,"2018-12-28 15:24:00",3.48,11.000,4.2456,2.7144,0.10008595041322,0.01,1,10.000,58.000
156,"2018-12-28 15:30:00",3.47,11.000,4.2334,2.7066,0.099511570247934,0.0099426113092879,1,10.000,58.000
157,"2018-12-28 15:36:00",3.56,11.000,4.3432,2.7768,0.10474049586777,0.010465054828907,1,10.000,58.000
158,"2018-12-28 15:42:00",3.77,11.000,4.5994,2.9406,0.11746198347107,0.011736111111111,1,10.000,58.000
159,"2018-12-28 15:48:00",3.75,11.000,4.575,2.925,0.11621900826446,0.011611920332937,1,10.000,58.000
160,"2018-12-28 15:54:00",3.50,11.000,4.27,2.73,0.10123966942149,0.010115272823358,1,10.000,58.000
161,"2018-12-28 16:00:00",3.53,11.000,4.3066,2.7534,0.1029826446281,0.010289420663232,1,10.000,58.000
